lead_id,industry,company_size,annual_revenue,country,lead_stage,previous_interactions,website_visits,pages_viewed,email_clicks,calls_made,meetings_scheduled,demo_requested,time_spent_minutes,days_since_last_activity,source,ads_clicked,campaign_engagement_score,avg_sentiment_score,avg_intent_score,avg_urgency_score,conversation_count,recency_score,converted
1,Retail,217,1844236,UK,New,7,9,23,16,4,1,0,276,16,Referral,5,0.9841958754495836,0.39691773455281565,0.5038432167646882,0.47583695252223335,2,0.6917773909194813,1
2,Manufacturing,219,2748940,India,Qualified,7,33,6,12,5,0,0,215,34,Referral,2,0.691567100298245,0.4859194024390321,0.4678469504425315,0.5406398663433994,1,0.4773252269970031,1
3,Healthcare,522,849165,Germany,Contacted,0,6,3,16,0,4,1,198,50,Organic,1,0.7205570858134481,0.0,0.0,0.0,0,1.0,0
4,Manufacturing,369,3895166,UK,New,10,29,12,4,7,1,0,197,48,Organic,0,0.2006760300258229,0.05020961160025652,0.09783823911697345,0.140239842039746,5,0.2875350373252466,0
5,Manufacturing,586,1208869,India,New,5,31,21,15,0,0,0,164,0,Organic,8,0.5562370853725123,-0.3649578308409417,0.2014284382411185,0.4254506044179568,1,0.6178899227634522,1
6,Finance,10,2497448,UK,Proposal,11,34,11,19,9,1,0,218,33,LinkedIn,6,0.555702156517377,0.3742356365347551,0.5150520784761512,0.5354048242258285,2,0.526685043854386,1
7,Healthcare,764,720755,Singapore,New,9,44,7,9,5,4,0,299,41,Google Ads,9,0.6069256289675586,0.0,0.0,0.0,0,1.0,1
8,Healthcare,990,1635289,Germany,New,2,46,14,15,3,4,0,123,1,Google Ads,8,0.1814499754779289,-0.5647359745771419,0.048935854394443805,0.0,2,0.40551554125951034,1
9,Healthcare,390,2164129,UK,New,0,18,21,5,1,2,0,61,4,LinkedIn,8,0.4063093760077824,-0.3838231329067711,0.27591308798460873,0.5424271906454978,1,0.40842979514084304,0
10,Manufacturing,837,2691667,Germany,Qualified,4,44,3,13,5,0,0,176,10,Google Ads,8,0.0006108474226224,-0.4088715153545695,0.2588891331631693,0.47120774895662004,2,0.2947163331664895,1
11,Retail,546,1594582,USA,Contacted,1,19,21,15,1,2,0,282,6,Google Ads,2,0.5557991051895774,0.0001934895463591088,0.12520638280826668,0.07487745797152993,1,0.5501826641028597,0
12,Healthcare,868,4013799,USA,New,5,16,23,15,7,4,1,274,48,Organic,2,0.8171492032517882,0.8168602997769968,0.8783455589238246,0.9529260625615693,3,0.337860294002299,1
13,Manufacturing,403,2446196,Singapore,Qualified,13,20,8,2,5,1,0,52,50,LinkedIn,9,0.9251208555702044,0.0,0.0,0.0,0,1.0,0
14,Finance,59,3026886,Singapore,Contacted,3,14,23,3,5,3,1,96,26,Referral,5,0.5867470501728396,-0.2306265665899754,0.27715904114830975,0.4366037043122789,1,0.20774778637805472,0
15,Retail,405,4777802,USA,Proposal,11,49,5,14,1,1,1,223,17,LinkedIn,4,0.0661890198968629,-0.3368808607321678,0.2944728150671161,0.39264269840710897,2,0.5266755392893985,1
16,Finance,869,4003733,UK,Contacted,7,42,3,4,8,0,0,32,3,Referral,3,0.8491398505604897,0.0,0.0,0.0,0,1.0,0
17,Retail,762,1571628,India,Contacted,0,4,22,14,4,1,0,214,42,Google Ads,2,0.8465465682774673,0.5294265505026718,0.716966250833388,0.8763366457438123,2,0.26271324609829516,0
18,Manufacturing,41,4828423,India,New,11,16,10,9,6,1,0,69,47,LinkedIn,2,0.5057663538999367,0.0,0.0,0.0,0,1.0,0
19,SaaS,554,4065544,USA,New,6,24,22,17,2,4,0,264,35,Google Ads,3,0.4189471238373947,0.0,0.0,0.0,0,1.0,0
20,Retail,721,4595670,India,Qualified,9,33,23,18,8,0,1,78,32,Google Ads,7,0.4231090925878479,0.8402528506571313,0.945512505615487,0.8744756521496893,3,0.44889121758963363,1
21,Finance,243,1408063,UK,New,5,34,7,19,3,3,0,89,21,Google Ads,4,0.6162074842264763,0.5155893187369255,0.5533621457360953,0.9104453359313716,1,0.4579385792778238,1
22,Manufacturing,35,1322464,India,Qualified,11,13,5,18,8,4,0,109,36,Organic,3,0.922033774824016,0.8264865679988342,0.8930797885639241,0.8935816813155506,2,0.3910926109712681,0
23,Retail,563,2120119,India,Qualified,14,42,14,14,0,4,0,121,56,Organic,2,0.6257058292336611,0.0,0.0,0.0,0,1.0,1
24,SaaS,443,2915858,USA,Proposal,8,18,11,11,8,1,0,80,14,Organic,7,0.9035506637285584,0.44157002816933055,0.542042396715758,0.5904854855982218,2,0.1974771817986483,0
25,SaaS,70,2772496,Germany,Contacted,13,25,8,4,1,1,0,259,26,Google Ads,6,0.1198619084906033,-0.41952906915032384,0.24230049354347138,0.39718035599930873,2,0.3880893888297044,0
26,Healthcare,562,1007285,Germany,New,3,32,3,10,9,4,0,278,22,Google Ads,2,0.4432508966092167,0.8199710710544943,0.9231163547309271,0.7792257945239514,1,0.31792180242435875,0
27,Healthcare,450,4813549,UK,New,12,33,6,3,1,2,0,222,28,Referral,3,0.0982026350892718,0.0,0.0,0.0,0,1.0,0
28,Finance,139,1558988,Germany,New,5,38,17,8,8,0,0,193,31,Google Ads,4,0.1572747337634035,0.12666778386801306,0.13796864083767024,0.11158642016938225,1,0.18454971929130579,0
29,Retail,876,104999,Singapore,Proposal,14,28,12,14,1,3,0,72,15,Referral,5,0.8998477419073576,0.0,0.0,0.0,0,1.0,1
30,Retail,363,2614394,USA,Qualified,6,36,4,13,6,4,0,193,50,Organic,2,0.5048741630643795,0.0,0.0,0.0,0,1.0,0
31,Healthcare,207,1936738,Germany,Contacted,7,45,24,14,7,3,0,93,25,Google Ads,6,0.0686196419270072,0.0,0.0,0.0,0,1.0,1
32,Retail,808,3828191,India,New,9,41,11,5,0,2,0,69,17,Organic,1,0.8323062466476017,-0.3525483552490257,0.3336405626976273,0.3687911724075188,1,0.2861211606440174,0
33,Retail,672,2528256,Germany,Qualified,6,16,11,13,5,2,0,214,44,Referral,1,0.6596296089844638,0.0,0.0,0.0,0,1.0,0
34,SaaS,725,400974,USA,Qualified,6,38,16,12,4,1,1,110,12,Google Ads,7,0.1421976554643018,0.6226897037856649,0.992258938483334,0.9726499689580925,1,0.49769761886378816,1
35,Healthcare,703,3996340,India,New,5,2,19,2,6,3,0,254,21,Organic,2,0.4394679280327874,0.0,0.0,0.0,0,1.0,0
36,Manufacturing,380,1176584,India,Qualified,5,2,4,5,9,4,0,280,39,LinkedIn,0,0.246247700866235,0.0,0.0,0.0,0,1.0,0
37,Healthcare,933,4668619,USA,New,0,13,13,5,4,2,0,220,26,Referral,7,0.4717016052738949,0.0,0.0,0.0,0,1.0,0
38,Manufacturing,728,3837779,UK,New,8,10,4,5,3,3,0,124,26,LinkedIn,7,0.7063789574173114,0.0,0.0,0.0,0,1.0,0
39,SaaS,156,279594,UK,New,12,4,19,4,1,4,1,178,10,Google Ads,5,0.1515302779310748,0.0,0.0,0.0,0,1.0,0
40,Finance,725,296196,USA,Qualified,7,29,18,15,9,4,0,39,18,Referral,4,0.5263826461607166,0.0,0.0,0.0,0,1.0,1
41,Retail,507,995188,USA,New,8,14,18,5,0,4,0,43,44,Google Ads,2,0.7878462892645062,0.38893288195514675,0.5739633373489528,0.5364575882078694,1,0.31304487950501114,0
42,SaaS,57,1554609,USA,Contacted,10,37,23,16,2,3,1,237,37,LinkedIn,0,0.0115122442822971,0.0,0.0,0.0,0,1.0,1
43,Retail,779,4962890,India,New,0,31,1,0,6,4,0,296,51,Referral,6,0.3348056599838899,0.0,0.0,0.0,0,1.0,0
44,Finance,660,1126917,India,Contacted,5,44,3,14,5,3,1,207,15,Google Ads,6,0.1650147021790954,-0.667096694497961,0.008855768908366105,0.11181558763656664,1,0.4276429903231631,1
45,Finance,181,1782880,USA,New,5,28,6,6,6,4,0,206,54,Referral,1,0.1755832214955871,0.0,0.0,0.0,0,1.0,0
46,SaaS,622,393301,India,Qualified,11,39,10,2,7,3,1,277,34,Referral,5,0.11753894646223,-0.2522210322254923,0.14325553012217648,0.4696502052115296,1,0.2947787087459331,0
47,Finance,708,3240244,Singapore,Contacted,8,29,11,18,7,2,1,254,59,LinkedIn,2,0.0301265794228376,0.0,0.0,0.0,0,1.0,1
48,Manufacturing,905,3198396,USA,Qualified,1,10,19,2,9,3,1,280,26,Referral,9,0.0615277272572656,0.0,0.0,0.0,0,1.0,0
49,Finance,324,1534248,India,Contacted,0,27,1,18,3,2,1,278,16,Organic,6,0.5659118378752349,-0.3624128988819345,0.2476709775178642,0.45675544008869795,2,0.30456938420024465,1
50,Retail,385,1148764,UK,New,1,1,13,4,3,4,1,20,23,Referral,1,0.6906450221308422,0.48122672973458364,0.4601314679850111,0.47396785688373644,1,0.4013972756427462,0
51,Retail,815,1383173,USA,Contacted,5,39,3,18,0,2,0,105,25,LinkedIn,1,0.6129450228225557,0.0,0.0,0.0,0,1.0,1
52,Retail,930,4432122,USA,New,6,3,13,0,4,4,0,207,36,Google Ads,9,0.0322162033259819,0.0,0.0,0.0,0,1.0,0
53,Retail,884,1031835,USA,Qualified,6,12,20,7,0,2,1,197,41,Referral,1,0.6066748246867709,0.006836758174610949,0.04644346326022332,0.1678804386610988,1,0.5208801133882635,0
54,Manufacturing,542,4633238,Germany,New,12,26,1,1,5,1,0,246,25,LinkedIn,8,0.3947801411434414,-0.02658242512221537,0.0,0.030784051606616597,1,0.2640620069047315,0
55,Healthcare,819,1229695,USA,New,2,28,20,5,3,0,1,189,49,LinkedIn,8,0.7229202705200307,0.0,0.0,0.0,0,1.0,0
56,SaaS,429,1317028,UK,Contacted,3,19,9,8,7,4,0,93,39,LinkedIn,8,0.8792514725583175,-0.3660963256684639,0.22637293009260345,0.4094245039571139,1,0.21839822445503715,0
57,Retail,914,3785816,India,New,2,34,10,12,4,3,1,106,17,Organic,8,0.6955291907576655,0.0,0.0,0.0,0,1.0,1
58,Finance,405,2555044,USA,New,10,22,2,6,6,0,1,74,11,LinkedIn,0,0.5909701088265656,0.0,0.0,0.0,0,1.0,0
59,Retail,531,4321796,Singapore,Contacted,12,37,19,0,5,2,0,172,4,Organic,7,0.1751123663867044,0.0,0.0,0.0,0,1.0,0
60,Finance,196,4523504,India,New,8,31,21,0,5,4,0,165,8,Referral,1,0.4034267389525439,0.0,0.0,0.0,0,1.0,0
61,Finance,654,2464529,UK,New,13,39,15,1,9,0,1,289,46,LinkedIn,1,0.2835756962012434,-0.30769818919254294,0.25164861234389746,0.3531765043976818,2,0.4944200763668344,0
62,Retail,42,1684311,Germany,Contacted,2,29,6,14,7,3,0,144,25,LinkedIn,4,0.100343725978427,-0.6187933912208269,0.1223984821592243,0.10320065780239088,2,0.4925780469725292,0
63,Manufacturing,78,4829590,UK,New,11,28,5,1,1,2,1,285,56,Organic,9,0.4077440474929256,0.5162636447976165,0.7126098060294629,0.8671313923721485,2,0.3867327414720155,0
64,Finance,601,3010660,Germany,Contacted,9,37,24,6,6,0,0,135,41,Google Ads,1,0.7932927019976711,0.10481124868341538,0.16193893726059422,0.235282062940554,1,0.4058685757175904,0
