lead_id,website_visits,pages_viewed,email_clicks,calls_made,meetings_scheduled,demo_requested,time_spent_minutes,days_since_last_activity
1,9,23,16,4,1,0,276,16
2,33,6,12,5,0,0,215,34
3,6,3,16,0,4,1,198,50
4,29,12,4,7,1,0,197,48
5,31,21,15,0,0,0,164,0
6,34,11,19,9,1,0,218,33
7,44,7,9,5,4,0,299,41
8,46,14,15,3,4,0,123,1
9,18,21,5,1,2,0,61,4
10,44,3,13,5,0,0,176,10
11,19,21,15,1,2,0,282,6
12,16,23,15,7,4,1,274,48
13,20,8,2,5,1,0,52,50
14,14,23,3,5,3,1,96,26
15,49,5,14,1,1,1,223,17
16,42,3,4,8,0,0,32,3
17,4,22,14,4,1,0,214,42
18,16,10,9,6,1,0,69,47
19,24,22,17,2,4,0,264,35
20,33,23,18,8,0,1,78,32
21,34,7,19,3,3,0,89,21
22,13,5,18,8,4,0,109,36
23,42,14,14,0,4,0,121,56
24,18,11,11,8,1,0,80,14
25,25,8,4,1,1,0,259,26
26,32,3,10,9,4,0,278,22
27,33,6,3,1,2,0,222,28
28,38,17,8,8,0,0,193,31
29,28,12,14,1,3,0,72,15
30,36,4,13,6,4,0,193,50
31,45,24,14,7,3,0,93,25
32,41,11,5,0,2,0,69,17
33,16,11,13,5,2,0,214,44
34,38,16,12,4,1,1,110,12
35,2,19,2,6,3,0,254,21
36,2,4,5,9,4,0,280,39
37,13,13,5,4,2,0,220,26
38,10,4,5,3,3,0,124,26
39,4,19,4,1,4,1,178,10
40,29,18,15,9,4,0,39,18
41,14,18,5,0,4,0,43,44
42,37,23,16,2,3,1,237,37
43,31,1,0,6,4,0,296,51
44,44,3,14,5,3,1,207,15
45,28,6,6,6,4,0,206,54
46,39,10,2,7,3,1,277,34
47,29,11,18,7,2,1,254,59
48,10,19,2,9,3,1,280,26
49,27,1,18,3,2,1,278,16
50,1,13,4,3,4,1,20,23
51,39,3,18,0,2,0,105,25
52,3,13,0,4,4,0,207,36
53,12,20,7,0,2,1,197,41
54,26,1,1,5,1,0,246,25
55,28,20,5,3,0,1,189,49
56,19,9,8,7,4,0,93,39
57,34,10,12,4,3,1,106,17
58,22,2,6,6,0,1,74,11
59,37,19,0,5,2,0,172,4
60,31,21,0,5,4,0,165,8
61,39,15,1,9,0,1,289,46
62,29,6,14,7,3,0,144,25
63,28,5,1,1,2,1,285,56
64,37,24,6,6,0,0,135,41
65,3,5,18,4,0,1,204,57
66,23,21,13,2,2,0,132,16
67,25,1,6,2,4,0,89,3
68,46,22,9,4,0,1,125,44
69,22,23,9,1,3,0,199,51
70,37,21,9,6,2,0,159,1
71,37,19,5,5,1,1,208,44
72,47,11,15,9,2,0,270,41
73,13,13,2,3,1,0,298,53
74,43,7,19,7,4,0,223,19
75,22,24,7,4,2,1,270,32
76,49,14,19,6,0,0,82,46
77,44,15,8,7,0,1,49,43
78,23,23,9,7,0,0,54,25
79,34,19,17,5,2,0,258,52
80,19,5,15,8,0,0,26,3
81,21,23,1,7,1,0,2,7
82,46,22,18,4,3,0,176,54
83,8,22,16,1,0,1,136,51
84,9,3,3,8,4,0,108,57
85,25,11,8,9,3,0,213,46
86,49,21,18,9,1,0,240,22
87,12,24,1,8,0,0,90,38
88,18,13,17,4,3,0,272,43
89,37,18,1,7,0,0,45,29
90,27,18,17,0,4,0,82,15
91,19,16,2,9,2,0,245,0
92,38,19,19,7,0,0,77,43
93,5,7,14,1,1,1,114,4
94,31,10,19,1,0,0,282,58
95,47,2,14,3,1,0,262,40
96,11,4,13,2,0,1,61,40
97,10,24,0,8,2,0,38,58
98,12,20,4,9,4,0,84,6
99,7,15,2,2,4,0,22,28
100,39,1,13,8,2,0,190,50
101,48,4,11,4,2,0,214,6
102,34,23,5,7,2,0,167,1
103,28,13,19,6,3,0,62,24
104,16,8,17,7,3,0,191,18
105,21,22,8,8,2,0,208,54
106,28,6,15,1,0,1,13,16
107,44,8,2,8,0,0,223,38
108,18,1,12,0,1,1,70,51
109,38,2,10,7,4,1,258,43
110,37,24,17,3,1,1,197,18
111,26,3,9,3,4,1,86,38
112,49,2,10,3,0,0,132,50
113,44,10,7,5,0,0,22,24
114,40,5,9,9,3,0,79,41
115,32,14,15,9,2,0,212,16
116,39,17,11,4,2,0,146,18
117,42,1,10,5,1,0,143,6
118,10,15,9,4,3,0,211,31
119,1,22,11,4,2,0,177,26
120,28,4,10,4,3,1,7,11
121,49,24,8,1,3,0,102,40
122,1,19,5,9,4,0,89,57
123,36,10,16,4,1,0,182,18
124,23,3,7,2,2,0,218,34
125,14,8,18,8,0,0,97,21
126,41,18,5,9,0,0,147,41
127,8,2,17,9,0,1,54,6
128,36,7,15,5,4,0,19,29
129,47,10,3,0,0,0,186,18
130,7,20,7,8,3,0,109,35
131,10,20,6,7,1,0,219,5
132,29,7,7,9,4,0,231,57
133,17,14,17,8,0,0,212,7
134,21,10,15,5,2,0,48,22
135,12,14,7,1,4,0,30,17
136,27,1,13,2,2,0,299,5
137,1,9,18,9,2,0,15,24
138,13,24,6,7,3,0,173,56
139,29,19,6,8,3,0,266,8
140,40,6,2,8,1,1,187,32
141,9,21,12,0,4,0,56,14
142,46,22,4,8,0,0,45,38
143,5,19,15,8,4,0,82,47
144,36,15,5,1,1,0,159,14
145,36,3,10,0,2,0,147,20
146,37,21,11,0,3,0,188,2
147,14,4,3,2,1,1,19,43
148,24,15,10,0,1,1,56,14
149,18,19,8,3,1,1,181,19
150,13,13,5,9,4,0,206,31
151,33,18,12,3,4,0,57,0
152,12,10,3,7,3,1,167,15
153,21,17,7,5,0,0,89,27
154,40,24,8,1,4,1,209,28
155,31,19,9,4,3,0,248,29
156,32,20,2,8,4,0,62,27
157,47,1,18,2,4,0,201,16
158,41,6,6,1,1,1,206,2
159,34,11,1,1,0,1,250,32
160,13,22,16,5,2,0,280,5
161,29,20,9,6,4,0,158,18
162,30,2,12,7,2,0,28,8
163,30,8,0,0,2,0,148,43
164,9,17,19,2,1,0,107,55
165,6,20,3,9,3,0,182,5
166,47,4,4,3,0,0,29,13
167,4,16,5,7,3,0,272,48
168,43,19,13,9,0,1,13,53
169,15,4,12,9,4,0,187,18
170,11,1,15,1,1,0,226,10
171,31,11,5,9,4,1,30,1
172,28,13,18,5,4,0,56,45
173,38,12,12,3,2,0,125,12
174,48,8,15,7,1,1,257,48
175,36,24,7,0,3,0,78,11
176,10,20,10,0,0,0,170,35
177,30,15,14,9,4,0,295,41
178,42,20,2,8,0,0,12,9
179,15,1,2,3,0,1,183,15
180,1,24,3,1,1,1,94,9
181,12,10,11,3,0,0,90,47
182,30,24,11,5,0,1,81,19
183,5,23,3,2,2,0,197,51
184,25,2,4,0,2,0,88,19
185,24,9,1,8,4,0,145,36
186,23,10,15,6,3,0,32,0
187,31,3,17,1,0,0,35,10
188,45,6,10,8,3,0,277,6
189,27,1,6,3,2,0,34,51
190,19,13,10,5,0,0,52,24
191,37,6,19,7,3,0,21,32
192,12,9,3,3,0,1,17,52
193,23,1,19,4,1,1,55,58
194,18,13,3,6,1,1,52,52
195,12,5,19,4,1,1,53,39
196,21,21,19,3,2,0,275,38
197,19,11,5,8,4,0,86,33
198,17,5,2,6,3,1,65,46
199,39,13,11,1,0,1,114,18
200,9,23,13,0,1,0,283,32
201,6,2,0,8,0,0,74,13
202,20,1,8,2,3,0,259,59
203,8,21,9,9,1,0,219,34
204,18,5,5,8,1,1,264,15
205,22,8,19,5,2,0,192,14
206,18,19,5,1,3,1,126,22
207,21,21,6,4,0,0,134,45
208,20,5,0,5,0,1,45,0
209,1,4,12,6,1,0,256,16
210,30,20,16,3,0,1,53,9
211,22,2,8,1,3,1,42,47
212,9,2,15,8,2,1,250,55
213,29,4,6,9,4,0,202,35
214,18,23,7,3,1,1,197,6
215,40,15,8,6,2,1,213,40
216,28,3,4,0,2,0,286,24
217,9,12,19,2,3,1,144,43
218,6,22,11,7,1,0,137,46
219,22,5,17,7,2,0,5,12
220,38,2,13,3,3,0,4,0
221,2,14,11,8,2,0,142,44
222,37,22,16,5,3,1,276,54
223,7,23,9,8,0,1,139,36
224,32,19,5,2,1,0,109,19
225,32,24,19,6,2,0,131,16
226,24,20,14,5,1,0,49,0
227,47,19,16,4,3,0,171,38
228,8,3,18,5,4,0,198,28
229,31,20,4,0,1,0,56,17
230,37,2,11,7,1,0,295,15
231,20,12,18,6,3,1,274,40
232,8,2,19,9,4,0,272,58
233,7,5,8,7,3,0,250,44
234,29,15,6,0,1,0,123,12
