lead_id,industry,company_size,annual_revenue,country,lead_stage,previous_interactions
1,Retail,217,1844236,UK,New,7
2,Manufacturing,219,2748940,India,Qualified,7
3,Healthcare,522,849165,Germany,Contacted,0
4,Manufacturing,369,3895166,UK,New,10
5,Manufacturing,586,1208869,India,New,5
6,Finance,10,2497448,UK,Proposal,11
7,Healthcare,764,720755,Singapore,New,9
8,Healthcare,990,1635289,Germany,New,2
9,Healthcare,390,2164129,UK,New,0
10,Manufacturing,837,2691667,Germany,Qualified,4
11,Retail,546,1594582,USA,Contacted,1
12,Healthcare,868,4013799,USA,New,5
13,Manufacturing,403,2446196,Singapore,Qualified,13
14,Finance,59,3026886,Singapore,Contacted,3
15,Retail,405,4777802,USA,Proposal,11
16,Finance,869,4003733,UK,Contacted,7
17,Retail,762,1571628,India,Contacted,0
18,Manufacturing,41,4828423,India,New,11
19,SaaS,554,4065544,USA,New,6
20,Retail,721,4595670,India,Qualified,9
21,Finance,243,1408063,UK,New,5
22,Manufacturing,35,1322464,India,Qualified,11
23,Retail,563,2120119,India,Qualified,14
24,SaaS,443,2915858,USA,Proposal,8
25,SaaS,70,2772496,Germany,Contacted,13
26,Healthcare,562,1007285,Germany,New,3
27,Healthcare,450,4813549,UK,New,12
28,Finance,139,1558988,Germany,New,5
29,Retail,876,104999,Singapore,Proposal,14
30,Retail,363,2614394,USA,Qualified,6
31,Healthcare,207,1936738,Germany,Contacted,7
32,Retail,808,3828191,India,New,9
33,Retail,672,2528256,Germany,Qualified,6
34,SaaS,725,400974,USA,Qualified,6
35,Healthcare,703,3996340,India,New,5
36,Manufacturing,380,1176584,India,Qualified,5
37,Healthcare,933,4668619,USA,New,0
38,Manufacturing,728,3837779,UK,New,8
39,SaaS,156,279594,UK,New,12
40,Finance,725,296196,USA,Qualified,7
41,Retail,507,995188,USA,New,8
42,SaaS,57,1554609,USA,Contacted,10
43,Retail,779,4962890,India,New,0
44,Finance,660,1126917,India,Contacted,5
45,Finance,181,1782880,USA,New,5
46,SaaS,622,393301,India,Qualified,11
47,Finance,708,3240244,Singapore,Contacted,8
48,Manufacturing,905,3198396,USA,Qualified,1
49,Finance,324,1534248,India,Contacted,0
50,Retail,385,1148764,UK,New,1
51,Retail,815,1383173,USA,Contacted,5
52,Retail,930,4432122,USA,New,6
53,Retail,884,1031835,USA,Qualified,6
54,Manufacturing,542,4633238,Germany,New,12
55,Healthcare,819,1229695,USA,New,2
56,SaaS,429,1317028,UK,Contacted,3
57,Retail,914,3785816,India,New,2
58,Finance,405,2555044,USA,New,10
59,Retail,531,4321796,Singapore,Contacted,12
60,Finance,196,4523504,India,New,8
61,Finance,654,2464529,UK,New,13
62,Retail,42,1684311,Germany,Contacted,2
63,Manufacturing,78,4829590,UK,New,11
64,Finance,601,3010660,Germany,Contacted,9
65,Finance,200,1783139,India,Contacted,5
66,Retail,110,2731821,Germany,Qualified,5
67,Finance,494,3509859,India,Qualified,4
68,Finance,294,4782375,UK,New,4
69,Retail,923,1236767,UK,Proposal,10
70,Retail,742,905698,Germany,Qualified,13
71,SaaS,399,1226001,Singapore,Contacted,7
72,Manufacturing,574,4933142,UK,Contacted,13
73,Manufacturing,987,3737761,Germany,Qualified,8
74,Finance,169,1227662,USA,Contacted,7
75,Manufacturing,901,4002958,India,Contacted,7
76,Finance,563,2348411,USA,Contacted,10
77,SaaS,56,1676802,USA,New,9
78,Retail,168,160833,USA,Contacted,14
79,Retail,455,1820657,Germany,New,2
80,Retail,705,2662955,UK,New,5
81,Manufacturing,767,4227537,USA,Qualified,8
82,SaaS,532,3908532,Germany,New,4
83,Manufacturing,675,3863209,UK,Contacted,3
84,Manufacturing,741,2167796,India,New,12
85,SaaS,164,1899271,UK,New,14
86,SaaS,348,809490,UK,Contacted,8
87,SaaS,962,2292397,USA,Qualified,4
88,SaaS,374,2102916,Germany,Qualified,5
89,Retail,804,4631879,Singapore,Proposal,10
90,Healthcare,708,955377,India,Qualified,10
91,Healthcare,583,1947752,Germany,Proposal,10
92,SaaS,157,1346733,USA,Contacted,6
93,Healthcare,908,3588493,Germany,New,7
94,Healthcare,153,3194928,Singapore,Qualified,2
95,SaaS,112,2101469,India,Proposal,0
96,Healthcare,821,3288845,UK,Contacted,9
97,Manufacturing,102,4088474,India,New,10
98,Finance,984,1785909,Singapore,New,4
99,Finance,295,1025855,India,Contacted,8
100,SaaS,433,2830038,India,Contacted,13
101,Retail,128,3419759,USA,New,8
102,SaaS,970,3874719,UK,Proposal,3
103,Retail,38,1569361,Singapore,Contacted,2
104,Finance,520,4406534,USA,Contacted,4
105,SaaS,39,2122188,India,Contacted,14
106,Manufacturing,881,643606,India,New,1
107,Healthcare,375,4312999,Germany,Proposal,1
108,Retail,809,2707851,USA,New,5
109,Healthcare,147,4899296,Singapore,Qualified,4
110,Healthcare,484,1447816,Singapore,New,8
111,SaaS,572,2414472,Singapore,New,12
112,Healthcare,401,4560195,Singapore,Contacted,3
113,Manufacturing,444,1999408,India,New,0
114,Healthcare,813,2977341,India,Qualified,13
115,SaaS,243,2201582,USA,Qualified,11
116,Manufacturing,64,205635,UK,Qualified,9
117,Finance,940,1276641,Singapore,Qualified,5
118,Healthcare,301,422555,India,Qualified,7
119,SaaS,761,1267354,USA,Contacted,14
120,Finance,321,1126988,Singapore,Proposal,6
121,Finance,557,1288611,UK,New,2
122,Retail,98,4207503,Singapore,New,3
123,Manufacturing,221,440278,Germany,New,12
124,Healthcare,966,4501833,Singapore,New,10
125,SaaS,327,4860833,Germany,New,9
126,Retail,886,851149,UK,Contacted,12
127,Manufacturing,766,2413729,Germany,Qualified,11
128,Retail,474,4734752,UK,Contacted,4
129,Manufacturing,96,3781036,USA,Contacted,2
130,Manufacturing,418,528357,Germany,Qualified,12
131,Healthcare,249,4702864,Singapore,Proposal,11
132,Manufacturing,841,1227237,Singapore,Contacted,7
133,Retail,709,465171,USA,New,8
134,Manufacturing,66,1298850,India,Contacted,6
135,Healthcare,122,666520,UK,Contacted,7
136,Healthcare,744,3180901,India,New,13
137,Retail,79,3121648,India,New,1
138,Finance,748,1174930,USA,New,9
139,Finance,777,440913,USA,Qualified,2
140,Manufacturing,701,4800516,Germany,New,12
141,SaaS,193,2332814,Germany,Contacted,14
142,Manufacturing,712,2341942,Germany,Qualified,12
143,Retail,973,1105511,Germany,Proposal,3
144,Retail,753,2341329,Germany,Contacted,9
145,Retail,285,4954745,Singapore,Contacted,1
146,Retail,242,2442582,USA,New,2
147,Retail,63,4009321,UK,Contacted,7
148,Healthcare,266,4148406,UK,Contacted,9
149,Finance,99,2551550,UK,New,11
150,Retail,747,815327,UK,New,11
151,SaaS,768,2267233,UK,Qualified,6
152,SaaS,915,3775355,Singapore,New,5
153,SaaS,672,2081433,USA,Proposal,5
154,SaaS,444,421631,Germany,New,1
155,Healthcare,634,4811264,Germany,New,7
156,SaaS,417,519592,Germany,Contacted,10
157,Retail,278,184636,USA,New,11
158,Manufacturing,678,3250030,USA,Contacted,5
159,SaaS,963,495025,Singapore,Contacted,14
160,Healthcare,375,499046,Singapore,Proposal,10
161,Healthcare,868,3919469,Germany,Proposal,4
162,SaaS,360,4080797,USA,Qualified,9
163,Manufacturing,308,2658034,Germany,New,12
164,SaaS,915,3643356,Singapore,New,4
165,Healthcare,168,176420,Germany,New,14
166,Finance,496,3044104,Singapore,Qualified,1
167,Retail,851,332172,India,Contacted,12
168,Healthcare,993,1327381,UK,New,1
169,SaaS,746,3661651,India,Contacted,13
170,Retail,535,3669422,Germany,Proposal,6
171,SaaS,364,368889,Germany,Qualified,10
172,SaaS,630,2366194,USA,Proposal,4
173,Finance,939,3847316,UK,Qualified,12
174,Retail,410,845461,Singapore,Qualified,6
