lead_id,source,ads_clicked,campaign_engagement_score
1,Referral,5,0.9841958754495836
2,Referral,2,0.691567100298245
3,Organic,1,0.7205570858134481
4,Organic,0,0.2006760300258229
5,Organic,8,0.5562370853725123
6,LinkedIn,6,0.555702156517377
7,Google Ads,9,0.6069256289675586
8,Google Ads,8,0.18144997547792896
9,LinkedIn,8,0.4063093760077824
10,Google Ads,8,0.000610847422622407
11,Google Ads,2,0.5557991051895774
12,Organic,2,0.8171492032517882
13,LinkedIn,9,0.9251208555702043
14,Referral,5,0.5867470501728396
15,LinkedIn,4,0.06618901989686299
16,Referral,3,0.8491398505604897
17,Google Ads,2,0.8465465682774673
18,LinkedIn,2,0.5057663538999367
19,Google Ads,3,0.41894712383739474
20,Google Ads,7,0.4231090925878479
21,Google Ads,4,0.6162074842264763
22,Organic,3,0.9220337748240159
23,Organic,2,0.6257058292336611
24,Organic,7,0.9035506637285583
25,Google Ads,6,0.1198619084906033
26,Google Ads,2,0.4432508966092167
27,Referral,3,0.09820263508927185
28,Google Ads,4,0.1572747337634035
29,Referral,5,0.8998477419073576
30,Organic,2,0.5048741630643795
31,Google Ads,6,0.0686196419270072
32,Organic,1,0.8323062466476017
33,Referral,1,0.6596296089844638
34,Google Ads,7,0.14219765546430185
35,Organic,2,0.43946792803278745
36,LinkedIn,0,0.24624770086623504
37,Referral,7,0.47170160527389493
38,LinkedIn,7,0.7063789574173114
39,Google Ads,5,0.15153027793107487
40,Referral,4,0.5263826461607166
41,Google Ads,2,0.7878462892645062
42,LinkedIn,0,0.011512244282297135
43,Referral,6,0.3348056599838899
44,Google Ads,6,0.16501470217909542
45,Referral,1,0.17558322149558714
46,Referral,5,0.11753894646223007
47,LinkedIn,2,0.030126579422837696
48,Referral,9,0.06152772725726563
49,Organic,6,0.5659118378752349
50,Referral,1,0.6906450221308422
51,LinkedIn,1,0.6129450228225557
52,Google Ads,9,0.03221620332598196
53,Referral,1,0.6066748246867709
54,LinkedIn,8,0.3947801411434414
55,LinkedIn,8,0.7229202705200307
56,LinkedIn,8,0.8792514725583175
57,Organic,8,0.6955291907576655
58,LinkedIn,0,0.5909701088265656
59,Organic,7,0.17511236638670447
60,Referral,1,0.4034267389525439
61,LinkedIn,1,0.28357569620124345
62,LinkedIn,4,0.100343725978427
63,Organic,9,0.4077440474929256
64,Google Ads,1,0.7932927019976711
65,Referral,2,0.7403976670465284
66,LinkedIn,3,0.36568104122240375
67,Referral,3,0.7736633510241688
68,LinkedIn,1,0.44119184527796007
69,LinkedIn,1,0.2587086577188167
70,Organic,1,0.3601291634772311
71,Organic,3,0.46823240641311237
72,Google Ads,8,0.28628813562176436
73,Referral,9,0.5586026027560792
74,Referral,8,0.879113593001685
75,Google Ads,9,0.5987545888581223
76,Referral,0,0.10238854829508126
77,LinkedIn,1,0.298358745087398
78,LinkedIn,2,0.34856218107519077
79,Referral,7,0.7674963327847454
80,LinkedIn,6,0.3674875481557661
81,Referral,7,0.6953886840475864
82,Google Ads,7,0.955586342201346
83,Referral,1,0.8858220863752366
84,LinkedIn,4,0.04532666565896604
85,Organic,3,0.28125712853047846
86,Google Ads,3,0.8145372429836694
87,Google Ads,4,0.5188219996481623
88,Google Ads,1,0.47424816181086216
89,LinkedIn,7,0.8027949305610029
90,LinkedIn,9,0.6912228135185302
91,Referral,1,0.3736074378445966
92,Google Ads,5,0.9775155695814441
93,Organic,0,0.6898623645789107
94,LinkedIn,3,0.6298343871871678
95,Google Ads,0,0.16971243187062135
96,LinkedIn,7,0.36958390486599024
97,Referral,0,0.2645900621098216
98,Organic,5,0.9370723013271939
99,LinkedIn,5,0.23361369956220157
100,Organic,6,0.8668291014475675
101,Referral,7,0.3999315889797228
102,Referral,0,0.6190550772151063
103,Referral,1,0.33905498849847693
104,Google Ads,5,0.8440433729651045
105,LinkedIn,3,0.1892641769383263
106,Google Ads,1,0.6154670291657236
107,Organic,3,0.7121007584811928
108,Organic,9,0.5503414661603732
109,Organic,9,0.21274465309672808
110,Organic,5,0.3649577899021643
111,Referral,7,0.8521389756774358
112,LinkedIn,7,0.08969146544566486
113,LinkedIn,0,0.7849240312585476
114,LinkedIn,2,0.46690839853126764
115,LinkedIn,5,0.3596023590679156
116,Google Ads,0,0.07772642411202169
117,LinkedIn,8,0.039051816805124595
118,Referral,2,0.3139883983830347
119,LinkedIn,1,0.7487181037965435
120,Google Ads,9,0.7161848731784476
121,Organic,4,0.362705821362695
122,LinkedIn,5,0.854321533761499
123,Google Ads,8,0.3130590986050421
124,Google Ads,1,0.6714693851944122
125,Referral,9,0.5462773162754414
126,Google Ads,1,0.11963987559101374
127,Organic,2,0.1306707037417708
128,LinkedIn,7,0.18793734579567878
129,Organic,8,0.8648528060493244
130,Referral,8,0.3195542685539612
131,LinkedIn,4,0.6672580527482136
132,Referral,6,0.25404480329250356
133,Organic,2,0.2697513866033695
134,Referral,9,0.007452438553916529
135,Organic,7,0.37409774578920596
136,Organic,8,0.002266126802151547
137,LinkedIn,3,0.5284387647838276
138,LinkedIn,8,0.21801283106099645
139,Organic,4,0.33580610749032536
140,Google Ads,3,0.5386539837984715
141,Organic,0,0.7288465733699642
142,LinkedIn,2,0.24041137913723531
143,LinkedIn,1,0.6167084800191575
144,LinkedIn,7,0.6341555777399926
145,Referral,2,0.4539628351366447
146,LinkedIn,3,0.5216432663202222
147,Referral,0,0.8446136734040903
148,Google Ads,1,0.5457868390827888
149,Google Ads,0,0.3801275991741335
150,Organic,0,0.537831510108269
151,Referral,7,0.008639492646214442
152,LinkedIn,1,0.02446535664175009
153,Organic,5,0.4346126404732996
154,Referral,4,0.6122693729687755
155,LinkedIn,3,0.19626425589797747
156,Google Ads,3,0.17953227832689123
157,Organic,2,0.9346678797574298
158,Organic,7,0.023316616936885026
159,Google Ads,8,0.13228174429444306
160,LinkedIn,1,0.30635916809472385
161,Organic,6,0.31255937011054213
162,Referral,8,0.8708352503461686
163,Referral,5,0.7744489344467185
164,LinkedIn,6,0.3661031112330084
165,LinkedIn,3,0.7173510967017841
166,LinkedIn,1,0.9697414914891384
167,LinkedIn,5,0.8676702578406557
168,Organic,8,0.5543626630490749
169,LinkedIn,2,0.662505047490335
170,Google Ads,9,0.23321397428145552
171,Google Ads,7,0.22471862857055103
172,LinkedIn,5,0.2670199981518624
173,Google Ads,6,0.07052121707013981
174,Organic,2,0.4779008654486965
175,Organic,0,0.28425274941821155
176,Google Ads,3,0.602802243510784
177,Google Ads,5,0.6964360696094978
178,Google Ads,6,0.49545273283138513
179,Organic,2,0.038574418933285504
180,LinkedIn,8,0.613953738583722
181,LinkedIn,4,0.2878645939141822
182,Google Ads,7,0.1440783588549055
183,Referral,3,0.2362179417613356
184,LinkedIn,2,0.3234690392222821
185,Referral,9,0.48281207842900264
186,LinkedIn,1,0.6153299887867582
187,Referral,7,0.14341892981037407
188,LinkedIn,2,0.7196235824271927
189,Referral,2,0.20883595706078173
190,Organic,3,0.14629391367091515
191,Referral,2,0.31954365782768457
192,LinkedIn,5,0.16007517129517312
193,Organic,3,0.9384478071743639
194,LinkedIn,0,0.18504694474026429
195,Organic,1,0.8280115242694911
196,LinkedIn,3,0.48700395434695165
197,Google Ads,8,0.9260651976760704
198,Organic,9,0.8255049912591461
199,Organic,6,0.7894567468830785
200,Organic,2,0.666639008551515
201,Organic,1,0.6668422269879035
202,Google Ads,9,0.9724651180325763
203,Organic,7,0.5816402537056313
204,Referral,0,0.9314165884323349
205,Organic,2,0.24412708598694055
206,Referral,9,0.2273327141197813
207,Referral,2,0.8839167688770131
208,LinkedIn,3,0.9557271351439292
209,Referral,0,0.41222373070095575
210,LinkedIn,2,0.9850770753574679
211,Google Ads,8,0.4720736884353366
212,Google Ads,4,0.7030607450937254
213,Organic,1,0.45358133355003816
214,LinkedIn,9,0.7568906963062145
215,Referral,1,0.7544799002025836
216,Google Ads,2,0.17251046491147615
217,LinkedIn,8,0.4432104483146935
218,Referral,6,0.6164848456176881
219,Google Ads,4,0.28367318113263074
220,Organic,7,0.7980185640088684
221,Organic,6,0.21625723398040264
222,LinkedIn,6,0.8401087514487819
223,LinkedIn,9,0.7554909941447446
224,Referral,9,0.5086106151784855
225,Referral,2,0.9915603270168338
226,Referral,1,0.45545279816203066
227,LinkedIn,2,0.6869495607197458
228,LinkedIn,9,0.26035162205188545
229,Google Ads,6,0.8179765957791362
230,Google Ads,7,0.07421339693232487
231,Organic,1,0.211365264349771
232,LinkedIn,5,0.3782227627941557
233,Referral,4,0.46716058056699405
234,LinkedIn,4,0.4343907630966345
235,Google Ads,8,0.3958453469332399
236,Referral,0,0.4605600085349887
237,Google Ads,4,0.6177354377682802
238,Referral,9,0.573838625043017
239,LinkedIn,4,0.9821664149950107
240,Referral,7,0.9777570344013623
241,Google Ads,6,0.9970392623627675
242,Google Ads,5,0.5943669024214355
243,LinkedIn,2,0.1579403311589378
244,Organic,2,0.9890758735758856
245,Referral,5,0.9904891092118154
246,Google Ads,1,0.3681464682136497
247,Organic,6,0.4317389630588455
248,Google Ads,0,0.8469058056278783
249,LinkedIn,4,0.5217975463307846
250,LinkedIn,4,0.027400470536019128
251,LinkedIn,6,0.3938324037952968
252,Google Ads,9,0.47882880333433697
253,Google Ads,3,0.45214845126282166
254,Referral,2,0.005008569769412219
255,Referral,5,0.406202989145361
256,Referral,0,0.9986876737068422
257,Google Ads,2,0.4066100653556082
258,Referral,6,0.6233170752240752
259,LinkedIn,1,0.031155650068436236
260,Organic,9,0.19644699481254457
261,Referral,9,0.16146546940530204
262,Organic,3,0.6203790351198553
263,Google Ads,1,0.81294141295412
264,Referral,8,0.332338637360186
265,LinkedIn,1,0.6287463920984051
266,LinkedIn,3,0.3059652134534977
267,Organic,5,0.0877909829179464
268,Referral,3,0.19991687493451538
269,Google Ads,4,0.6400824995124667
270,Google Ads,7,0.07800466689973229
271,Google Ads,6,0.7915513636738689
272,Organic,8,0.10005108837225973
273,Google Ads,1,0.05151751738008015
274,LinkedIn,8,0.6580257378301518
275,Organic,8,0.053468980213488004
276,Organic,2,0.925211869430548
277,Referral,2,0.7262763041215274
278,LinkedIn,4,0.6112953997138485
279,Google Ads,3,0.6364836007490589
280,Referral,7,0.7593084665741732
281,Organic,8,0.48290214085881233
282,Organic,6,0.39883370790792305
283,Google Ads,1,0.6684610007658011
284,Organic,9,0.10540006892207854
285,Google Ads,7,0.14355542748276684
286,Organic,8,0.4328151189268774
287,Organic,8,0.6443531321756756
288,Referral,4,0.9154436511122186
289,Referral,1,0.03938444621340387
290,Google Ads,2,0.03153622987255955
291,Google Ads,0,0.7247025665451716
292,Organic,0,0.8884464142417114
293,LinkedIn,7,0.14448627581150442
294,LinkedIn,1,0.007052048561349222
295,Google Ads,7,0.997079629087009
296,Organic,6,0.9165500823702503
297,Referral,1,0.2639982382097933
298,Organic,7,0.7332084564411376
299,Organic,6,0.6719635028888983
300,Organic,7,0.24149096329481468
301,Google Ads,6,0.9125639914944373
302,Organic,7,0.5595072994289433
303,Google Ads,8,0.2662161167185604
304,Google Ads,8,0.37152591456955597
305,Referral,6,0.03387485487484121
306,Referral,3,0.03426060449069113
307,Google Ads,2,0.5926431070459318
308,Referral,9,0.09483116135970016
309,Google Ads,1,0.2278832366211192
310,Organic,6,0.15223903354326773
311,Google Ads,6,0.4597762649397821
312,Google Ads,2,0.4373607169748073
313,Referral,6,0.2450841712313384
314,Referral,9,0.29247138871610934
315,LinkedIn,4,0.9235175609523939
316,Referral,5,0.3273887741522077
317,Referral,6,0.7636494970541154
318,LinkedIn,7,0.7628355205065017
319,Google Ads,4,0.117501118134823
320,Referral,0,0.5452581107278447
321,LinkedIn,3,0.40684617127888845
322,Organic,7,0.7891587063299742
323,Organic,2,0.698072272969575
324,LinkedIn,7,0.7941591381622808
325,Organic,6,0.2452529611386215
326,Organic,4,0.9566082345274183
327,Google Ads,8,0.3877061334955981
328,Referral,0,0.28853916475169517
329,LinkedIn,7,0.6338731036436364
330,Referral,4,0.5636714752949098
331,LinkedIn,9,0.21626305895689035
332,LinkedIn,1,0.8788933106473665
333,Organic,3,0.36206120207974557
334,Organic,2,0.9530038422205965
335,Google Ads,6,0.774336305015668
336,Organic,6,0.38419448437349213
337,Google Ads,7,0.4263022782964815
338,Referral,5,0.30997733053117393
339,Referral,8,0.08410085732988226
